sample_id,sample_index,original_paired_use,original_group,semantic_status,temporal_status,stage2_visual_status,stage3_visual_status,visual_status,mapping_status,resolution_status,resolution_reason,candidate_only,production_written,usable_text,usable_audio_fraction,usable_visual_fraction,usable_trimodal_fraction,reason
-tPCytz4rww$_$12,84,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,1.0,0.86,semantic_time_and_visual_evidence_are_sufficient
-tPCytz4rww$_$16,85,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,1.0,1.0,0.72,semantic_time_and_visual_evidence_are_sufficient
-tPCytz4rww$_$18,86,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,1.0,0.86,semantic_time_and_visual_evidence_are_sufficient
-uywlfIYOS8$_$4,87,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,0.98,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient
-vxjVxOeScU$_$4,88,1,no_alert,UNRESOLVED,NOT_APPLICABLE,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,UNRESOLVED,semantic_pairing_remains_unresolved,1,0,0.84,0.0,1.0,0.0,semantic_pairing_remains_unresolved
-wMB_hJL-3o$_$7,89,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.84,1.0,0.88,0.84,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-wny0OAz3g8$_$0,90,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.74,1.0,0.98,0.74,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$1,91,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,1.0,1.0,0.88,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$2,92,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,0.98,1.0,0.88,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$3,93,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,1.0,0.98,0.82,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$5,94,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,0.98,0.98,0.86,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$7,95,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,1.0,1.0,0.88,semantic_time_and_visual_evidence_are_sufficient
-wny0OAz3g8$_$9,96,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,0.98,0.92,0.82,semantic_time_and_visual_evidence_are_sufficient
-yRb-Jum7EQ$_$1,97,0,identity_and_text_audio,MATCH_WEAK,PARTIAL,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,0.9,0.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-yRb-Jum7EQ$_$5,98,0,identity_and_text_audio,MATCH_WEAK,PARTIAL,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,0.82,1.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-yRb-Jum7EQ$_$6,99,0,text_audio_only_single_episode,MATCH_STRONG,PARTIAL,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,0.48,1.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
